date,Month,city_name,category,item_id,item_name,qty_sold,mrp,,
13-11-2023,Nov,Gurgaon,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),2,3300,,
05-10-2023,Oct,Ghaziabad,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),3,4950,,
11-12-2023,Dec,Gurgaon,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),2,3300,,
03-12-2023,Dec,Mohali,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,4,1500,,
04-11-2023,Nov,Delhi,"Dry Fruits, Masala & Oil",10143020,Jivo Pomace Olive Oil(Bottle),29,30421,,
06-12-2023,Dec,Zirakpur,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,4,1500,,
04-10-2023,Oct,Panchkula,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,4,1500,,
11-12-2023,Dec,Dehradun,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,1,375,,
04-10-2023,Oct,Ludhiana,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),1,1650,,
09-11-2023,Nov,Delhi,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,40,15000,,
05-11-2023,Nov,Delhi,"Dry Fruits, Masala & Oil",10143020,Jivo Pomace Olive Oil(Bottle),64,67136,,
18-11-2023,Nov,Ghaziabad,"Dry Fruits, Masala & Oil",10049041,Jivo Pomace Olive Oil(Tin),3,14997,,
24-11-2023,Nov,Gurgaon,"Dry Fruits, Masala & Oil",10143020,Jivo Pomace Olive Oil(Bottle),19,19931,,
18-12-2023,Dec,Gurgaon,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),2,3300,,
25-10-2023,Oct,Jalandhar,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),2,3300,,
11-10-2023,Oct,Gurgaon,"Dry Fruits, Masala & Oil",10143665,Jivo Cold Press Canola Oil,60,0,,
08-12-2023,Dec,Chandigarh,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,2,750,,
18-10-2023,Oct,Ghaziabad,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,18,6750,,
08-10-2023,Oct,Faridabad,"Dry Fruits, Masala & Oil",10143020,Jivo Pomace Olive Oil(Bottle),1,1049,,
13-10-2023,Oct,Ghaziabad,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,16,6000,,
29-12-2023,Dec,Faridabad,"Dry Fruits, Masala & Oil",10049041,Jivo Pomace Olive Oil(Tin),2,9998,,
04-10-2023,Oct,Faridabad,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,2,750,,
